portfolio_name,portfolio_type,base_date,ticker,quantity
안정형1,bond,2024-12-09,148070 ,4 
안정형1,bond,2024-12-09,190620 ,1 
안정형1,bond,2024-12-09,196230 ,1 
안정형1,bond,2024-12-09,365780 ,5 
안정형1,bond,2024-12-09,438570 ,4 
안정형1,bond,2024-12-09,455890 ,1 
안정형1,bond,2024-12-09,461460 ,4 
안정형1,bond,2024-12-09,CASH,146100 
안정형2,bond,2024-12-09,148070 ,8 
안정형2,bond,2024-12-09,190620 ,2 
안정형2,bond,2024-12-09,196230 ,2 
안정형2,bond,2024-12-09,365780 ,10 
안정형2,bond,2024-12-09,438570 ,8 
안정형2,bond,2024-12-09,455890 ,2 
안정형2,bond,2024-12-09,461460 ,8 
안정형2,bond,2024-12-09,CASH,292807 
안정형3,bond,2024-12-09,148070 ,12 
안정형3,bond,2024-12-09,190620 ,3 
안정형3,bond,2024-12-09,196230 ,3 
안정형3,bond,2024-12-09,365780 ,15 
안정형3,bond,2024-12-09,438570 ,12 
안정형3,bond,2024-12-09,455890 ,3 
안정형3,bond,2024-12-09,461460 ,12 
안정형3,bond,2024-12-09,CASH,438328 
중립형1,combined,2024-12-10,148070 , 7 
중립형1,combined,2024-12-10,248270 , 4 
중립형1,combined,2024-12-10,394670, 14 
중립형1,combined,2024-12-10,396510, 15 
중립형1,combined,2024-12-10,417450, 13 
중립형1,combined,2024-12-10,419430, 14 
중립형1,combined,2024-12-10,449690, 6 
중립형1,combined,2024-12-10,455890, 2 
중립형1,combined,2024-12-10,473490, 6 
중립형1,combined,2024-12-10,476070, 8 
중립형1,combined,2024-12-10,479620, 9 
중립형1,combined,2024-12-10,480310, 10 
중립형1,combined,2024-12-10,CASH,35176 
중립형2,combined,2024-12-10,148070,14 
중립형2,combined,2024-12-10,248270,8 
중립형2,combined,2024-12-10,394670,28 
중립형2,combined,2024-12-10,396510,30 
중립형2,combined,2024-12-10,417450,26 
중립형2,combined,2024-12-10,419430,28 
중립형2,combined,2024-12-10,449690,12 
중립형2,combined,2024-12-10,455890,4 
중립형2,combined,2024-12-10,473490,12 
중립형2,combined,2024-12-10,476070,16 
중립형2,combined,2024-12-10,479620,18 
중립형2,combined,2024-12-10,480310,20 
중립형2,combined,2024-12-10,CASH,69385 
중립형3,combined,2024-12-10,148070, 21 
중립형3,combined,2024-12-10,248270, 12 
중립형3,combined,2024-12-10,394670, 42 
중립형3,combined,2024-12-10,396510, 45 
중립형3,combined,2024-12-10,417450, 39 
중립형3,combined,2024-12-10,419430, 42 
중립형3,combined,2024-12-10,449690, 18 
중립형3,combined,2024-12-10,455890, 6 
중립형3,combined,2024-12-10,473490, 18 
중립형3,combined,2024-12-10,476070, 24 
중립형3,combined,2024-12-10,479620, 27 
중립형3,combined,2024-12-10,480310, 30 
중립형3,combined,2024-12-10,CASH,103850 
적극형1,equity,2024-12-10,248270,3 
적극형1,equity,2024-12-10,394670,13 
적극형1,equity,2024-12-10,396510,14 
적극형1,equity,2024-12-10,417450,12 
적극형1,equity,2024-12-10,419430,13 
적극형1,equity,2024-12-10,449690,6 
적극형1,equity,2024-12-10,473490,6 
적극형1,equity,2024-12-10,476070,8 
적극형1,equity,2024-12-10,479620,8 
적극형1,equity,2024-12-10,480310,9 
적극형1,equity,2024-12-10,CASH,33457 
적극형2,equity,2024-12-10,248270,6 
적극형2,equity,2024-12-10,394670,26 
적극형2,equity,2024-12-10,396510,28 
적극형2,equity,2024-12-10,417450,24 
적극형2,equity,2024-12-10,419430,26 
적극형2,equity,2024-12-10,449690,12 
적극형2,equity,2024-12-10,473490,12 
적극형2,equity,2024-12-10,476070,16 
적극형2,equity,2024-12-10,479620,16 
적극형2,equity,2024-12-10,480310,18 
적극형2,equity,2024-12-10,CASH,252889 
적극형3,equity,2024-12-10,248270,9 
적극형3,equity,2024-12-10,394670,39 
적극형3,equity,2024-12-10,396510,42 
적극형3,equity,2024-12-10,417450,36 
적극형3,equity,2024-12-10,419430,39 
적극형3,equity,2024-12-10,449690,18 
적극형3,equity,2024-12-10,473490,18 
적극형3,equity,2024-12-10,476070,24 
적극형3,equity,2024-12-10,479620,24 
적극형3,equity,2024-12-10,480310,27 
적극형3,equity,2024-12-10,CASH,92961 
