portfolio_name,portfolio_type,base_date,ticker,quantity
안정형1,bond,2025-02-03,148070,4
안정형1,bond,2025-02-03,190620,1
안정형1,bond,2025-02-03,196230,1
안정형1,bond,2025-02-03,365780,5
안정형1,bond,2025-02-03,438570,4
안정형1,bond,2025-02-03,455890,1
안정형1,bond,2025-02-03,461460,4
안정형1,bond,2025-02-03,CASH,146100
안정형2,bond,2025-02-03,148070,8
안정형2,bond,2025-02-03,190620,2
안정형2,bond,2025-02-03,196230,2
안정형2,bond,2025-02-03,365780,10
안정형2,bond,2025-02-03,438570,8
안정형2,bond,2025-02-03,455890,2
안정형2,bond,2025-02-03,461460,8
안정형2,bond,2025-02-03,CASH,292807
안정형3,bond,2025-02-03,148070,12
안정형3,bond,2025-02-03,190620,3
안정형3,bond,2025-02-03,196230,3
안정형3,bond,2025-02-03,365780,15
안정형3,bond,2025-02-03,438570,12
안정형3,bond,2025-02-03,455890,3
안정형3,bond,2025-02-03,461460,12
안정형3,bond,2025-02-03,CASH,438328
중립형1,combined,2025-02-03,0007G0, 10 
중립형1,combined,2025-02-03,148070, 7 
중립형1,combined,2025-02-03,381180, 4 
중립형1,combined,2025-02-03,390390, 4 
중립형1,combined,2025-02-03,442320, 5 
중립형1,combined,2025-02-03,446770, 3 
중립형1,combined,2025-02-03,455890, 2 
중립형1,combined,2025-02-03,464060, 5 
중립형1,combined,2025-02-03,469060, 7 
중립형1,combined,2025-02-03,479620, 9 
중립형1,combined,2025-02-03,483320, 10 
중립형1,combined,2025-02-03,497570, 8 
중립형1,combined,2025-02-03,CASH,76696 
중립형2,combined,2025-02-03,0007G0, 20 
중립형2,combined,2025-02-03,148070, 14 
중립형2,combined,2025-02-03,381180, 8 
중립형2,combined,2025-02-03,390390, 8 
중립형2,combined,2025-02-03,442320, 10 
중립형2,combined,2025-02-03,446770, 6 
중립형2,combined,2025-02-03,455890, 4 
중립형2,combined,2025-02-03,464060, 10 
중립형2,combined,2025-02-03,469060, 14 
중립형2,combined,2025-02-03,479620, 18 
중립형2,combined,2025-02-03,483320, 20 
중립형2,combined,2025-02-03,497570, 16 
중립형2,combined,2025-02-03,CASH,148735 
중립형3,combined,2025-02-03,0007G0, 30 
중립형3,combined,2025-02-03,148070, 21 
중립형3,combined,2025-02-03,381180, 12 
중립형3,combined,2025-02-03,390390, 12 
중립형3,combined,2025-02-03,442320, 15 
중립형3,combined,2025-02-03,446770, 9 
중립형3,combined,2025-02-03,455890, 6 
중립형3,combined,2025-02-03,464060, 15 
중립형3,combined,2025-02-03,469060, 21 
중립형3,combined,2025-02-03,479620, 27 
중립형3,combined,2025-02-03,483320, 30 
중립형3,combined,2025-02-03,497570, 24 
중립형3,combined,2025-02-03,CASH,198370 
적극형1,equity,2025-02-03,0007G0,9 
적극형1,equity,2025-02-03,381180,5 
적극형1,equity,2025-02-03,390390,4 
적극형1,equity,2025-02-03,442320,4 
적극형1,equity,2025-02-03,446770,3 
적극형1,equity,2025-02-03,464060,5 
적극형1,equity,2025-02-03,469060,6 
적극형1,equity,2025-02-03,479620,8 
적극형1,equity,2025-02-03,483320,9 
적극형1,equity,2025-02-03,497570,8 
적극형1,equity,2025-02-03,CASH,20357 
적극형2,equity,2025-02-03,0007G0,18 
적극형2,equity,2025-02-03,381180,10 
적극형2,equity,2025-02-03,390390,8 
적극형2,equity,2025-02-03,442320,8 
적극형2,equity,2025-02-03,446770,6 
적극형2,equity,2025-02-03,464060,10 
적극형2,equity,2025-02-03,469060,12 
적극형2,equity,2025-02-03,479620,16 
적극형2,equity,2025-02-03,483320,18 
적극형2,equity,2025-02-03,497570,16 
적극형2,equity,2025-02-03,CASH,32239 
적극형3,equity,2025-02-03,0007G0,27 
적극형3,equity,2025-02-03,381180,15 
적극형3,equity,2025-02-03,390390,12 
적극형3,equity,2025-02-03,442320,12 
적극형3,equity,2025-02-03,446770,9 
적극형3,equity,2025-02-03,464060,15 
적극형3,equity,2025-02-03,469060,18 
적극형3,equity,2025-02-03,479620,24 
적극형3,equity,2025-02-03,483320,27 
적극형3,equity,2025-02-03,497570,24 
적극형3,equity,2025-02-03,CASH,71581 
