portfolio_name,portfolio_type,base_date,ticker,quantity
안정형1,bond,2025-01-07,148070,4
안정형1,bond,2025-01-07,190620,1
안정형1,bond,2025-01-07,196230,1
안정형1,bond,2025-01-07,365780,5
안정형1,bond,2025-01-07,438570,4
안정형1,bond,2025-01-07,455890,1
안정형1,bond,2025-01-07,461460,4
안정형1,bond,2025-01-07,CASH,146100
안정형2,bond,2025-01-07,148070,8
안정형2,bond,2025-01-07,190620,2
안정형2,bond,2025-01-07,196230,2
안정형2,bond,2025-01-07,365780,10
안정형2,bond,2025-01-07,438570,8
안정형2,bond,2025-01-07,455890,2
안정형2,bond,2025-01-07,461460,8
안정형2,bond,2025-01-07,CASH,292807
안정형3,bond,2025-01-07,148070,12
안정형3,bond,2025-01-07,190620,3
안정형3,bond,2025-01-07,196230,3
안정형3,bond,2025-01-07,365780,15
안정형3,bond,2025-01-07,438570,12
안정형3,bond,2025-01-07,455890,3
안정형3,bond,2025-01-07,461460,12
안정형3,bond,2025-01-07,CASH,438328
중립형1,combined,2025-01-07,148070, 7 
중립형1,combined,2025-01-07,275980, 6 
중립형1,combined,2025-01-07,371470, 34 
중립형1,combined,2025-01-07,394670, 14 
중립형1,combined,2025-01-07,396510, 15 
중립형1,combined,2025-01-07,396520, 14 
중립형1,combined,2025-01-07,417450, 13 
중립형1,combined,2025-01-07,419430, 15 
중립형1,combined,2025-01-07,455890, 2 
중립형1,combined,2025-01-07,464920, 6 
중립형1,combined,2025-01-07,476070, 9 
중립형1,combined,2025-01-07,481180, 5 
중립형1,combined,2025-01-07,CASH,13391 
중립형2,combined,2025-01-07,148070, 14 
중립형2,combined,2025-01-07,275980, 12 
중립형2,combined,2025-01-07,371470, 34 
중립형2,combined,2025-01-07,394670, 28 
중립형2,combined,2025-01-07,396510, 30 
중립형2,combined,2025-01-07,396520, 28 
중립형2,combined,2025-01-07,417450, 26 
중립형2,combined,2025-01-07,419430, 30 
중립형2,combined,2025-01-07,455890, 4 
중립형2,combined,2025-01-07,464920, 14 
중립형2,combined,2025-01-07,476070, 18 
중립형2,combined,2025-01-07,481180, 14 
중립형2,combined,2025-01-07,CASH,133845 
중립형3,combined,2025-01-07,148070, 21 
중립형3,combined,2025-01-07,275980, 18 
중립형3,combined,2025-01-07,371470, 51 
중립형3,combined,2025-01-07,394670, 42 
중립형3,combined,2025-01-07,396510, 45 
중립형3,combined,2025-01-07,396520, 42 
중립형3,combined,2025-01-07,417450, 68 
중립형3,combined,2025-01-07,419430, 45 
중립형3,combined,2025-01-07,455890, 6 
중립형3,combined,2025-01-07,464920, 21 
중립형3,combined,2025-01-07,476070, 27 
중립형3,combined,2025-01-07,481180, 19 
중립형3,combined,2025-01-07,CASH,6130 
적극형1,equity,2025-01-07,275980,6 
적극형1,equity,2025-01-07,481180,7 
적극형1,equity,2025-01-07,394670,14 
적극형1,equity,2025-01-07,419430,15 
적극형1,equity,2025-01-07,396520,0 
적극형1,equity,2025-01-07,464920,0 
적극형1,equity,2025-01-07,396510,14 
적극형1,equity,2025-01-07,417450,12 
적극형1,equity,2025-01-07,371470,0 
적극형1,equity,2025-01-07,476070,8 
적극형1,equity,2025-01-07,CASH,271262 
적극형2,equity,2025-01-07,275980,12 
적극형2,equity,2025-01-07,481180,0 
적극형2,equity,2025-01-07,394670,28 
적극형2,equity,2025-01-07,419430,32 
적극형2,equity,2025-01-07,396520,9 
적극형2,equity,2025-01-07,464920,0 
적극형2,equity,2025-01-07,396510,28 
적극형2,equity,2025-01-07,417450,24 
적극형2,equity,2025-01-07,371470,0 
적극형2,equity,2025-01-07,476070,16 
적극형2,equity,2025-01-07,CASH,457844 
적극형3,equity,2025-01-07,275980,18 
적극형3,equity,2025-01-07,481180,0 
적극형3,equity,2025-01-07,394670,42 
적극형3,equity,2025-01-07,419430,45 
적극형3,equity,2025-01-07,396520,39 
적극형3,equity,2025-01-07,464920,0 
적극형3,equity,2025-01-07,396510,42 
적극형3,equity,2025-01-07,417450,36 
적극형3,equity,2025-01-07,371470,0 
적극형3,equity,2025-01-07,476070,24 
적극형3,equity,2025-01-07,CASH,546661 
