portfolio_name,portfolio_type,base_date,ticker,quantity
안정형1,bond,2024-11-05,196230,2 
안정형1,bond,2024-11-05,148070,4 
안정형1,bond,2024-11-05,214980,1 
안정형1,bond,2024-11-05,122260,1 
안정형1,bond,2024-11-05,190620,1 
안정형1,bond,2024-11-05,365780,5 
안정형1,bond,2024-11-05,438570,4 
안정형1,bond,2024-11-05,455890,1 
안정형1,bond,2024-11-05,CASH,39575 
안정형2,bond,2024-11-05,196230,4 
안정형2,bond,2024-11-05,148070,8 
안정형2,bond,2024-11-05,214980,2 
안정형2,bond,2024-11-05,122260,2 
안정형2,bond,2024-11-05,190620,2 
안정형2,bond,2024-11-05,365780,10 
안정형2,bond,2024-11-05,438570,8 
안정형2,bond,2024-11-05,455890,2 
안정형2,bond,2024-11-05,CASH,79150 
안정형3,bond,2024-11-05,196230,8 
안정형3,bond,2024-11-05,148070,12 
안정형3,bond,2024-11-05,214980,3 
안정형3,bond,2024-11-05,190620,3 
안정형3,bond,2024-11-05,365780,15 
안정형3,bond,2024-11-05,438570,12 
안정형3,bond,2024-11-05,455890,3 
안정형3,bond,2024-11-05,CASH,209210 
중립형1,combined,2024-11-05,148070,6 
중립형1,combined,2024-11-05,266370,6 
중립형1,combined,2024-11-05,305720,7 
중립형1,combined,2024-11-05,363580,8 
중립형1,combined,2024-11-05,385510,5 
중립형1,combined,2024-11-05,417450,15 
중립형1,combined,2024-11-05,453950,6 
중립형1,combined,2024-11-05,455890,5 
중립형1,combined,2024-11-05,455860,19 
중립형1,combined,2024-11-05,473490,7 
중립형1,combined,2024-11-05,469050,6 
중립형1,combined,2024-11-05,486240,13 
중립형1,combined,2024-11-05,CASH,48820 
중립형2,combined,2024-11-05,148070,12 
중립형2,combined,2024-11-05,266370,12 
중립형2,combined,2024-11-05,305720,14 
중립형2,combined,2024-11-05,363580,16 
중립형2,combined,2024-11-05,385510,10 
중립형2,combined,2024-11-05,417450,30 
중립형2,combined,2024-11-05,453950,12 
중립형2,combined,2024-11-05,455890,10 
중립형2,combined,2024-11-05,455860,38 
중립형2,combined,2024-11-05,473490,14 
중립형2,combined,2024-11-05,469050,12 
중립형2,combined,2024-11-05,486240,26 
중립형2,combined,2024-11-05,CASH,97640 
중립형3,combined,2024-11-05,148070,18 
중립형3,combined,2024-11-05,266370,18 
중립형3,combined,2024-11-05,305720,21 
중립형3,combined,2024-11-05,363580,24 
중립형3,combined,2024-11-05,385510,15 
중립형3,combined,2024-11-05,417450,45 
중립형3,combined,2024-11-05,453950,18 
중립형3,combined,2024-11-05,455890,15 
중립형3,combined,2024-11-05,455860,57 
중립형3,combined,2024-11-05,473490,21 
중립형3,combined,2024-11-05,469050,18 
중립형3,combined,2024-11-05,486240,39 
중립형3,combined,2024-11-05,CASH,146460 
적극형1,equity,2024-11-05,266370,6 
적극형1,equity,2024-11-05,305720,7 
적극형1,equity,2024-11-05,363580,8 
적극형1,equity,2024-11-05,385510,5 
적극형1,equity,2024-11-05,417450,15 
적극형1,equity,2024-11-05,453950,6 
적극형1,equity,2024-11-05,455860,19 
적극형1,equity,2024-11-05,473490,7 
적극형1,equity,2024-11-05,469050,6 
적극형1,equity,2024-11-05,486240,13 
적극형1,equity,2024-11-05,CASH,13505 
적극형2,equity,2024-11-05,266370,12 
적극형2,equity,2024-11-05,305720,14 
적극형2,equity,2024-11-05,363580,16 
적극형2,equity,2024-11-05,385510,10 
적극형2,equity,2024-11-05,417450,30 
적극형2,equity,2024-11-05,453950,12 
적극형2,equity,2024-11-05,455860,38 
적극형2,equity,2024-11-05,473490,14 
적극형2,equity,2024-11-05,469050,12 
적극형2,equity,2024-11-05,486240,26 
적극형2,equity,2024-11-05,CASH,25570 
적극형3,equity,2024-11-05,266370,18 
적극형3,equity,2024-11-05,305720,21 
적극형3,equity,2024-11-05,363580,24 
적극형3,equity,2024-11-05,385510,15 
적극형3,equity,2024-11-05,417450,45 
적극형3,equity,2024-11-05,453950,18 
적극형3,equity,2024-11-05,455860,57 
적극형3,equity,2024-11-05,473490,21 
적극형3,equity,2024-11-05,469050,18 
적극형3,equity,2024-11-05,486240,39 
적극형3,equity,2024-11-05,CASH,38115 
